image,velocity,angular_velocity,x,y
136.png,0.09999999999999999,0.0,-5.286799461489317,-7.27177190865833
137.png,0.09999999999999999,0.0,-5.273201456511152,-7.271540737500008
138.png,0.09999999999999999,0.0,-5.259603460303498,-7.271309432976793
139.png,0.09999999999999999,0.0,-5.246005565107869,-7.271078054551297
140.png,0.09999999999999999,0.0,-5.239206502517033,-7.270962279715642
141.png,0.09999999999999999,0.0,-5.229008097193849,-7.270788641728327
142.png,0.09999999999999999,0.0,-5.1882142028650975,-7.270093355790467
143.png,0.09999999999999999,0.0,-5.1746161974034806,-7.269861353520361
144.png,0.09999999999999999,0.0,-5.164417812855605,-7.26968731827369
145.png,0.09999999999999999,0.0,-5.154219247882054,-7.269513175555369
146.png,0.09999999999999999,0.0,-5.140621392677346,-7.269280927552794
147.png,0.09999999999999999,0.0,-5.137221880490573,-7.269222823946643
148.png,0.09999999999999999,0.0,-5.1338223805384295,-7.269164730032258
149.png,0.09999999999999999,0.0,-5.130422915610014,-7.269106641025258
150.png,0.09999999999999999,0.0,-5.127023446469922,-7.269048555603839
151.png,0.09999999999999999,0.0,-5.110025969061945,-7.268757907045141
152.png,0.09999999999999999,0.0,-5.106626530656922,-7.26869977063931
153.png,0.09999999999999999,0.0,-5.089629100841779,-7.268408923763867
154.png,0.09999999999999999,0.0,-5.06923214660022,-7.268059687852553
155.png,0.09999999999999999,0.0,-5.052234772005029,-7.267768451524895
156.png,0.09999999999999999,0.0,-5.045435801589814,-7.267651949678095
157.png,0.09999999999999999,0.0,-5.0318378335184475,-7.267418776646808
158.png,0.09999999999999999,0.0,-5.008041449405785,-7.267010479866014
159.png,0.09999999999999999,0.0,-4.991044047284244,-7.266718640420577
160.png,0.09999999999999999,0.0,-4.97064720823121,-7.266368181168851
161.png,0.09999999999999999,0.0,-4.957049316793037,-7.266134427119046
162.png,0.09999999999999999,0.0,-4.9400518415822905,-7.265842055149341
163.png,0.09999999999999999,0.0,-4.929853488203424,-7.265666537885607
164.png,0.09999999999999999,0.0,-4.919655014938406,-7.265490967619111
165.png,0.09999999999999999,0.0,-4.909456603162048,-7.265315346378493
166.png,0.09999999999999999,0.0,-4.8992581163648525,-7.265139644667691
167.png,0.09999999999999999,0.0,-4.889059777592323,-7.264963885381306
168.png,0.09999999999999999,0.0,-4.878861280418427,-7.2647880565139005
169.png,0.09999999999999999,0.0,-4.861863873987621,-7.264494872854712
170.png,0.09999999999999999,0.0,-4.8414669914496615,-7.264142832814631
171.png,0.09999999999999999,0.0,-4.821070150112052,-7.263790531123417
172.png,0.09999999999999999,0.0,-4.807472318931532,-7.263555564707667
173.png,0.09999999999999999,0.0,-4.79727380197765,-7.263379220357573
174.png,0.09999999999999999,0.0,-4.780276448221593,-7.2630851975286905
175.png,0.09999999999999999,0.0,-4.746281780967108,-7.262496682740141
176.png,0.09999999999999999,0.0,-4.7360832656578875,-7.262319965689728
177.png,0.09999999999999999,0.0,-4.7224854681802535,-7.262084287383168
178.png,0.09999999999999999,0.0,-4.712287023514623,-7.261907421513034
179.png,0.09999999999999999,0.0,-4.698689190991883,-7.261671532267909
180.png,0.09999999999999999,0.0,-4.698689190991883,-7.261671532267909
181.png,0.09999999999999999,0.0,-4.695289637628183,-7.261612530761
182.png,0.09999999999999999,0.0,-4.69189017722677,-7.261553535741305
183.png,0.09999999999999999,0.0,-4.6850913082103975,-7.261435543774235
184.png,0.09999999999999999,0.0,-4.67489286959243,-7.261258425168292
185.png,0.09999999999999999,0.0,-4.661295070063007,-7.261022259786794
186.png,0.09999999999999999,0.0,-4.651096539041186,-7.26084501587308
187.png,0.09999999999999999,0.0,-4.637498755304749,-7.26060863105334
188.png,0.09999999999999999,0.0,-4.6239008577128535,-7.2603721288711185
189.png,0.09999999999999999,0.0,-4.596705123220423,-7.259898777042541
190.png,0.09999999999999999,0.0,-4.56950928932264,-7.259424954369652
191.png,0.09999999999999999,0.0,-4.555911524710673,-7.25918791831823
192.png,0.09999999999999999,0.0,-4.542313603336233,-7.258950733627602
193.png,0.09999999999999999,0.0,-4.5321152347310605,-7.258772785818882
194.png,0.09999999999999999,0.0,-4.518517394201144,-7.2585354237404776
195.png,0.09999999999999999,0.0,-4.508318959710804,-7.258357294877289
196.png,0.09999999999999999,0.0,-4.498120624537301,-7.258179151162853
197.png,0.09999999999999999,0.0,-4.487922227521403,-7.258000901617282
198.png,0.09999999999999999,0.0,-4.47772385053473,-7.257822635015984
199.png,0.09999999999999999,0.0,-4.450528178539706,-7.2573468841082915
200.png,0.09999999999999999,0.0,-4.436930294159423,-7.25710883813846
201.png,0.09999999999999999,0.0,-4.426731910583463,-7.256930232353771
202.png,0.09999999999999999,0.0,-4.413134056901531,-7.256692007449539
203.png,0.09999999999999999,0.0,-4.402935650047807,-7.256513215993173
204.png,0.09999999999999999,0.0,-4.392737319911119,-7.256334432908998
205.png,0.09999999999999999,0.0,-4.392737319911119,-7.256334432908998
206.png,0.09999999999999999,0.0,-4.389337871020607,-7.256274819547729
207.png,0.09999999999999999,0.0,-4.37573994842745,-7.256036261579427
208.png,0.09999999999999999,0.0,-4.355343191356281,-7.255678232856624
209.png,0.09999999999999999,0.0,-4.341745385973221,-7.255439405575872
210.png,0.09999999999999999,0.0,-4.321348671376254,-7.255080973086472
211.png,0.09999999999999999,0.0,-4.304351418890936,-7.254782104068683
212.png,0.09999999999999999,0.0,-4.29075355530648,-7.254542856114651
213.png,0.09999999999999999,0.0,-4.273756259465631,-7.254243623715934
214.png,0.09999999999999999,0.0,-4.256759030500685,-7.253944231455959
215.png,0.09999999999999999,0.0,-4.243161271711185,-7.253704631868299
216.png,0.09999999999999999,0.0,-4.232962804419125,-7.2535248119798945
217.png,0.09999999999999999,0.0,-4.222764516586249,-7.253344983948136
218.png,0.09999999999999999,0.0,-4.219365085007188,-7.253285001031832
219.png,0.09999999999999999,0.0,-4.205767221259517,-7.2530450646711
220.png,0.09999999999999999,0.0,-4.164973755690913,-7.252324579091517
221.png,0.09999999999999999,0.0,-4.144577030883581,-7.251963969697272
222.png,0.09999999999999999,0.0,-4.124180340015578,-7.251603093598928
223.png,0.09999999999999999,0.0,-4.117381487631921,-7.251482770245592
224.png,0.09999999999999999,0.0,-4.103783649298518,-7.251241981768171
225.png,0.09999999999999999,0.0,-4.093585395616714,-7.251061333193738
226.png,0.09999999999999999,0.0,-4.079987559045956,-7.250820367061011
227.png,0.09999999999999999,0.0,-4.069789248129115,-7.250639549653526
228.png,0.09999999999999999,0.0,-4.059590887501879,-7.250458701911767
229.png,0.09999999999999999,0.0,-4.049392539786528,-7.250277775375816
230.png,0.09999999999999999,0.0,-4.035794762980991,-7.250036457744419
231.png,0.09999999999999999,0.0,-4.025596389889017,-7.2498553450344145
232.png,0.09999999999999999,0.0,-4.011998670836974,-7.249613854874247
233.png,0.09999999999999999,0.0,-3.9984008147668124,-7.249372206461303
234.png,0.09999999999999999,0.0,-3.9848030375038044,-7.249130444138536
235.png,0.09999999999999999,0.0,-3.974604722356584,-7.248949076714671
236.png,0.09999999999999999,0.0,-3.9712052906718536,-7.248888609513506
237.png,0.09999999999999999,0.0,-3.967805828886159,-7.248828126709086
238.png,0.09999999999999999,0.0,-3.964406357192168,-7.248767609334585
239.png,0.09999999999999999,0.0,-3.9236130673694136,-7.2480412024784195
240.png,0.09999999999999999,0.0,-3.9236130673694136,-7.2480412024784195
241.png,0.09999999999999999,0.0,-3.920213585551641,-7.247980608087123
242.png,0.09999999999999999,0.0,-3.916814133250877,-7.247920040161313
243.png,0.09999999999999999,0.0,-3.903216432288445,-7.247677631354642
244.png,0.09999999999999999,0.0,-3.8862192444882964,-7.2473744668072895
